,LightGBM,Seasonal Naive,BiLSTM,Rolling LightGBM,Risk-Aware CQR,Risk-Aware Bayesian,Oracle
2024-01-02,18.290079542724772,-3.7215522072752343,4.729021542724773,17.737480542724768,17.364653799705994,2.95601854957472,30.394106083333337
2024-01-03,26.801121915412033,-1.6537005012546402,6.348451832078688,26.801121915412033,25.27570922210865,3.751460500408532,30.878199583333338
2024-01-04,12.9496311287934,1.0847967121267317,16.349650045460066,12.952952628793394,12.135439540935177,7.050915093359008,27.843906
2024-01-05,32.69639542818516,-14.913413488481503,11.157430261518485,4.380992011518501,7.008862898562081,3.2097553075443566,43.279135249999996
2024-01-06,-9.535175911546485,-3.9908817448798253,-0.14362899487982617,-13.445143078213153,-9.834897478855446,-2.3638558035863393,13.513016833333335
2024-01-07,6.04286418261643,-8.478583067383571,3.4307835159497593,5.961603432616428,-1.6125645044878938,3.4307835159497593,11.34876766666667
2024-01-08,6.784918171038495,3.0949241710385067,2.7200083377051705,6.784918171038495,6.5573742550271,2.479884272552401,26.062928999999997
2024-01-09,3.346163387478718,4.52365222081205,-0.9042912791879516,4.794532554145384,3.3459204158952036,1.5876433041453915,10.89449766666667
2024-01-10,5.052677486638263,8.331605236638268,15.149651653304932,25.65173998663827,8.223380414568384,13.723776002787748,30.83589183333334
2024-01-11,8.323694285743915,9.133030035743914,8.06973795241058,8.323694285743915,8.994835488806476,5.283867731472858,21.727239750000006
2024-01-12,7.6378857039904915,3.126201620657163,2.071520870657153,7.6378857039904915,7.0800688496217035,1.8211748371042793,14.240087999999997
2024-01-13,4.460086509718472,1.067969509718477,51.16858492638515,3.5212379263851403,32.340524239840654,25.378825646125865,57.735826
2024-01-14,52.08820544819271,52.120387698192715,43.128374531526035,51.97511028152604,31.48660653951142,6.540563868034448,60.38972433333333
2024-01-15,24.53829931053454,7.515516560534536,30.458066893867894,17.179096893867865,4.951430228625084,0.8180081504666276,63.809690166666684
