,0
price_lag_24h,6.590343825214301
gas_price_lag_24h,1.415956185444205
price_lag_168h,0.9552765784084345
wx_chicago_temp_c,0.8378768731663919
price_lag_336h,0.7923504674547234
dow_sin,0.6627209923936276
dow_cos,0.4608865302223479
wx_philadelphia_temp_c,0.4001620591489101
eia_nuclear_mw,0.2780644135270111
wx_regional_wind_kmh,0.2744617755697371
price_lag_96h,0.2732084800342468
price_rstd_168h,0.26764472043823806
wx_detroit_temp_c,0.2561431171197787
hour_sin,0.2370396132221992
wx_columbus_temp_c,0.21060296155645347
week_sin,0.1892187425038136
price_rmax_168h,0.18471414686942939
hour_cos,0.17351900062215492
wx_chicago_wind_kmh,0.1663408277872818
price_rmean_168h,0.15500597356204598
price_rstd_48h,0.14959462643061963
price_lag_48h,0.14708090700461274
price_rmax_48h,0.1348391918631901
price_rmin_24h,0.13254864507694727
eia_solar_mw,0.12558835735320265
price_lag_72h,0.12064179049570231
price_rmin_168h,0.11983129929334414
price_rmin_48h,0.11554363633377077
wx_detroit_rh_pct,0.1079537554526728
price_rmax_24h,0.10457759815880874
wx_chicago_rh_pct,0.08210805982226135
price_rmean_24h,0.07760225816476864
price_rmean_48h,0.07621772547477437
wx_columbus_wind_kmh,0.07491274409636925
wx_philadelphia_rh_pct,0.07459558738249732
week_cos,0.06815747500760289
price_rstd_24h,0.06786750434623738
wx_regional_temp_c,0.06689007162483948
wx_pittsburgh_wind_kmh,0.05920925620065482
wx_pittsburgh_temp_c,0.054914601547148605
wx_columbus_rh_pct,0.05464029110677632
eia_demand_mw,0.05298332677775091
month_cos,0.05226648311482433
wx_philadelphia_wind_kmh,0.048700356797307186
wx_pittsburgh_rh_pct,0.04628194831938289
eia_renewable_fraction,0.04604681325142813
eia_wind_mw,0.04471297033911264
eia_gas_mw,0.04411406138820293
wx_detroit_wind_kmh,0.03828662288050752
month_sin,0.03660191255473813
wx_regional_rh_pct,0.03050641508183399
is_holiday,0.0
is_holiday_eve,0.0
is_weekend,0.0
