Market,Month,MAE,RMSE
PJM,2024-01,12.475353392498501,20.584892965310924
PJM,2024-02,3.575771110513364,4.867132940735803
PJM,2024-03,4.434769802881467,6.431981624322888
PJM,2024-04,4.810720315144629,6.304406234541592
PJM,2024-05,5.577378856834372,8.065630996614447
PJM,2024-06,4.621188303360685,6.607953812305883
PJM,2024-07,7.891061539358558,14.445323196716814
PJM,2024-08,5.664232322214573,9.975497862575597
PJM,2024-09,4.903220844648796,6.7731733107508125
PJM,2024-10,6.642659104673013,10.01860257103767
PJM,2024-11,4.755917162762632,6.507395503342328
PJM,2024-12,6.412065842467473,9.244005002443641
PJM,2025-01,17.658150053690694,32.759330704170196
PJM,2025-02,11.733960065478245,21.391906921151687
PJM,2025-03,8.07806435610146,11.150022991884436
PJM,2025-04,8.17637068524992,11.412918382545925
PJM,2025-05,6.421919695477793,8.469140445702072
PJM,2025-06,10.851588902490787,26.96235302798011
PJM,2025-07,12.902882773635046,34.97334910210151
PJM,2025-08,5.837909223158167,8.211536116368944
PJM,2025-09,6.264329853932571,9.201003315155791
PJM,2025-10,8.718585105808762,13.75969796577787
PJM,2025-11,8.496509280617326,11.526793436171651
PJM,2025-12,11.591768358734074,18.073496164593482
ERCOT,2024-01,11.38335619899107,19.806310527179765
ERCOT,2024-02,18.022415828047123,52.331711283469375
ERCOT,2024-03,5.940302645160306,8.786203037063508
ERCOT,2024-04,6.415621537455805,11.4211686818311
ERCOT,2024-05,5.494295771250161,7.433984267476401
ERCOT,2024-06,5.5290471950107145,8.47391775789088
ERCOT,2024-07,14.547866392887622,49.89769800226434
ERCOT,2024-08,17.130926535377373,39.469077918660794
ERCOT,2024-09,4.49909091896481,6.7640836420552946
ERCOT,2024-10,9.499383913539218,21.204542179863704
ERCOT,2024-11,7.6178512348952125,17.84643350976003
ERCOT,2024-12,5.732540233092496,10.93287235920168
ERCOT,2025-01,6.872282171010117,9.066698660914513
ERCOT,2025-02,5.182500670145428,7.393431583962154
ERCOT,2025-03,9.494769678423484,20.537717026655443
ERCOT,2025-04,6.261432293927227,8.39356101953764
ERCOT,2025-05,5.305033115469,6.838986917481644
ERCOT,2025-06,6.097057275948702,8.329826249890191
ERCOT,2025-07,6.572848336619715,9.310049395850562
ERCOT,2025-08,5.800729296831247,11.621786363519808
ERCOT,2025-09,5.503730634336118,7.045542366651763
ERCOT,2025-10,6.783756472748242,12.393781134251768
ERCOT,2025-11,7.737245758388661,11.577128474007758
ERCOT,2025-12,5.82572022274474,7.680980845495363
