,0
price_lag_24h,78.29175500074655
price_lag_168h,8.700706082811417
price_lag_336h,3.5007812997383043
eia_renewable_fraction,2.7117663999100716
price_lag_96h,2.538054160673266
price_lag_48h,2.343456069690719
price_rmean_168h,2.312692477622748
price_rmean_24h,2.2041710994701273
price_lag_72h,2.1496054569796588
price_rstd_24h,1.9352735729063162
eia_wind_mw,1.8571721759947397
price_rmax_168h,1.6927140033832984
gas_price_lag_24h,1.598264075518004
price_rmax_48h,1.3770778712751477
hour_sin,1.2828369762905607
wx_houston_temp_c,1.2726469456289569
price_rstd_168h,1.2591180943078943
price_rmin_48h,1.222367620456993
price_rmean_48h,1.1274334702509459
wx_amarillo_temp_c,1.1202998854903399
week_sin,1.0432044830344775
wx_regional_temp_c,1.0087041695752188
eia_demand_mw,0.9817555199541796
price_rmin_24h,0.9178526106432792
wx_amarillo_rh_pct,0.8853280216648167
hour_cos,0.8816706389236141
price_rmax_24h,0.878729463545613
eia_gas_mw,0.8447677406691797
wx_austin_wind_kmh,0.7935251897969129
wx_austin_temp_c,0.7423790979980625
wx_houston_wind_kmh,0.7342283718907745
wx_dallas_wind_kmh,0.7028415985805417
price_rstd_48h,0.6358952319912392
wx_dallas_rh_pct,0.6164591233123979
wx_regional_wind_kmh,0.5797355248487065
eia_nuclear_mw,0.5420433294120697
wx_amarillo_wind_kmh,0.4912830053594877
eia_solar_mw,0.49082866216059406
wx_regional_rh_pct,0.4730271678109266
wx_austin_rh_pct,0.46931762768263063
month_sin,0.44986183878755387
wx_houston_rh_pct,0.43120800127716874
price_rmin_168h,0.4223607936972384
wx_san_antonio_temp_c,0.4205285199869015
wx_san_antonio_rh_pct,0.4205251873630677
dow_cos,0.40684566380512527
week_cos,0.336287942667221
wx_san_antonio_wind_kmh,0.32815208946107804
dow_sin,0.2984877184552522
wx_dallas_temp_c,0.26939060119520974
month_cos,0.10520868923196407
is_holiday,0.0
is_holiday_eve,0.0
is_weekend,0.0
