Regime,AutoARIMA,BiLSTM,BiTCN,Chronos-Bolt,Ensemble,LightGBM,MSTL,N-HiTS,PatchTST,QRF,SeasonalNaive,XGBoost,iTransformer
Fall   (SON),8.9479,4.8686,6.4834,6.3834,5.8766,6.9341,10.9615,6.0876,5.9442,6.8457,10.0739,6.9985,6.2394
Spring (MAM),8.6301,3.8018,5.8555,5.6326,4.3684,5.546,10.2362,5.4319,5.4486,5.8201,9.3324,5.5777,5.5402
Summer (JJA),12.5402,4.5625,7.7598,7.4999,6.3178,8.408,14.7841,6.0441,6.3324,8.5678,15.7418,9.1179,7.2249
Winter (DJF),21.0237,5.7884,12.0293,8.5723,8.4021,9.9811,21.6994,9.3117,8.3872,11.0805,22.735,9.9447,9.5123
Year_2024,9.1243,3.2054,6.2842,5.7274,3.5458,5.6877,10.1829,5.4007,5.2736,6.0863,11.098,5.9345,5.6553
Year_2025,16.4228,6.3057,9.7672,8.317,8.8375,9.7462,18.6431,8.0287,7.7796,10.0666,17.8232,9.8867,8.5984
new_normal,12.762,4.7508,8.0196,7.0174,6.2118,7.7103,14.3998,6.7097,6.5219,8.0696,14.4488,7.904,7.1217
