,LightGBM,Seasonal Naive,BiLSTM,Rolling LightGBM,Risk-Aware CQR,Risk-Aware Bayesian,Oracle
2023-12-31,27.71188213092351,19.937090464256844,10.437715464256847,,16.617610086706293,5.416262460713393,64.64750000000001
2024-01-01,7.035813119425505,5.601229786092176,-0.6500202139078226,11.339563119425506,10.230901378523397,-0.6167398892792766,20.11
2024-01-02,13.980649706301968,13.980649706301968,13.60846220630198,2.468462206301975,13.980649706301968,9.285306993208925,47.82875
2024-01-03,12.177512095255146,12.177512095255146,14.464387095255141,60.86126209525515,57.470019447287925,6.2259454297663,72.13749999999999
2024-01-04,13.911589831550437,-12.569660168449563,21.979089831550443,13.911589831550437,4.190105878782806,9.81383912928265,47.115
2024-01-05,13.01853586742073,-24.784589132579278,3.3166608674207296,13.01853586742073,11.078103504595898,7.348424931211698,27.647500000000004
2024-01-06,73.53986677001166,7.489658436678319,116.90726260334495,108.16913760334495,142.7984084366783,23.047155915709478,165.81374999999997
2024-01-07,169.754094035418,155.874094035418,127.92680236875131,126.0802398687513,26.599310695908024,25.527741045433796,185.38625000000002
2024-01-08,-0.9001859969426604,17.838564003057336,-0.007269330275995856,-0.22768599694265923,3.930450024621564,-0.005305556273738805,35.573333333333345
2024-01-09,4.784614579976985,-24.657052086689685,-4.546947920023015,13.651697913310322,7.544406514021105,-3.6249025333759186,30.963749999999997
2024-01-10,5.6239133239176695,-2.0223366760823325,51.27016332391766,5.6239133239176695,3.473524670396609,16.993965797403334,89.04499999999999
2024-01-11,46.026872975005546,46.026872975005546,33.90520630833888,39.59833130833887,17.709935016368416,14.976201245769875,66.09291666666667
2024-01-12,9.247883432269358,22.608716765602693,-4.967949901063978,19.268508432269357,12.89044368549848,-4.00865146424792,40.792500000000004
2024-01-13,11.472012711856642,-10.15048728814336,6.233054378523313,13.382325211856646,2.8772204361097047,3.253064272081328,30.403333333333336
2024-01-14,-11.998716375978233,24.56878362402177,16.768471124021765,-4.7909038759782305,4.349412026253429,8.408088044399097,42.838750000000005
2024-01-15,12.884952811638819,-91.50338052169451,2.4443278116388285,10.432556978305485,-13.412445380707721,0.9666387479555052,96.7525
