Model,MAE,RMSE,sMAPE (%),Inference Time (ms/pred)
Constrained Transformer,4.035965331327939,5.066736848057687,5.866027036866313,0.2477460067787726
Autoformer,8.685241051932344,10.107116551946733,12.783143426764433,2.019043655129422
Bayesian Bi-LSTM,1.7266453957712666,2.2586180412125674,2.501199224959598,0.0792050860543453
LightGBM,1.6282852803799766,2.199985934988283,2.3657721252708535,0.002580121414678
Ensemble,1.6729323316671765,2.2225317119470542,2.4277736563515826,0.0032587148149934
SARIMA,6.414340388259794,7.939184366731609,9.366957025875662,0.025514340808895
