Model,PICP_%,MPIW,Winkler_α10,Pinball_lo,Pinball_hi,CRPS,Correction
LGBM Quantile (90% CI),71.15,17.1121,69.0634,0.839,2.6141,6.0251,
CQR (90% nominal CI),95.42,41.1572,66.9997,1.1805,2.1695,6.7762,12.0225
Chronos-Bolt (80% CI),73.63,19.7917,51.0701,1.3769,2.1662,,
QRF (90% CI),86.97,28.1113,51.0354,0.8261,1.7257,6.0473,
N-HiTS Quantile (80% CI),65.49,15.0075,56.5604,1.387,2.1914,5.3365,
BiLSTM MC Dropout (90% CI),50.76,9.2086,42.2713,0.6595,1.4541,,
