Alpha,Nominal_CI,Label,Correction,PICP_%,MPIW,Winkler,Pinball_lo,Pinball_hi
0.05,95%,95% CI (α=0.05),44.0711,99.83,105.7443,109.2282,1.2181,1.5126
0.1,90%,90% CI (α=0.10),44.0711,99.83,105.7443,107.4862,2.4363,2.9381
0.2,80%,80% CI (α=0.20),80.9282,99.89,174.5242,175.0417,8.4638,9.0404
