,Oracle,Naive (Autoformer),Risk-Aware (Bayesian)
3,13.899999999999991,2.6500000000000057,13.849999999999994
4,20.389999999999993,8.519999999999996,20.389999999999993
5,22.16000000000001,2.8900000000000006,16.920000000000016
6,17.53,12.579999999999998,14.599999999999994
7,20.549999999999997,16.460000000000008,19.459999999999994
8,18.199999999999996,13.240000000000009,18.13000000000001
9,19.07,-8.329999999999998,17.330000000000005
10,17.709999999999994,5.859999999999999,16.700000000000003
11,14.200000000000003,8.719999999999999,14.060000000000002
12,16.069999999999993,13.299999999999997,14.980000000000004
13,14.740000000000009,13.11,13.0
14,17.75,14.649999999999991,13.75
15,22.92,5.519999999999996,22.92
16,19.72999999999999,-2.839999999999989,19.00999999999999
17,11.829999999999998,0.7199999999999989,9.5
18,21.060000000000002,11.519999999999996,17.189999999999998
19,21.340000000000003,7.269999999999996,13.510000000000005
20,15.700000000000003,12.39,13.829999999999998
21,16.169999999999987,11.310000000000002,11.990000000000009
22,19.489999999999995,10.909999999999997,15.489999999999995
23,12.969999999999999,-2.819999999999993,8.289999999999992
24,16.0,0.6499999999999915,14.670000000000002
25,20.439999999999998,4.659999999999997,19.13000000000001
26,15.310000000000002,10.070000000000007,11.730000000000004
27,11.040000000000006,6.700000000000003,7.3500000000000085
28,12.719999999999999,7.219999999999999,12.340000000000003
29,12.599999999999994,3.200000000000003,12.599999999999994
30,13.170000000000002,-3.469999999999999,5.969999999999999
31,22.96,12.979999999999997,22.96
32,29.03,23.07999999999999,24.849999999999987
33,31.51999999999999,24.71999999999999,26.299999999999983
34,22.18999999999999,9.269999999999996,19.409999999999997
35,20.659999999999997,14.829999999999998,20.150000000000006
36,17.159999999999997,16.120000000000005,16.710000000000008
37,19.129999999999995,-2.6000000000000085,17.019999999999996
38,19.07999999999999,10.839999999999996,19.07999999999999
39,29.49000000000001,9.510000000000005,27.570000000000007
40,32.75,20.220000000000006,32.75
41,28.820000000000007,16.289999999999992,28.669999999999995
42,27.52000000000001,10.799999999999997,23.99000000000001
43,21.150000000000006,5.910000000000011,18.870000000000005
44,24.919999999999995,11.04,24.919999999999995
45,31.300000000000004,9.540000000000013,31.269999999999996
46,30.640000000000015,26.27000000000001,29.88000000000001
47,22.069999999999993,10.549999999999997,21.809999999999988
48,25.83000000000002,18.549999999999997,25.83000000000002
49,30.189999999999998,-0.22999999999999687,26.72999999999999
50,24.72,16.139999999999993,18.400000000000006
51,25.44999999999999,2.8500000000000014,23.669999999999995
52,35.989999999999995,-4.910000000000004,32.519999999999996
53,48.690000000000005,39.54,39.28
54,16.659999999999997,9.650000000000006,11.680000000000007
55,18.820000000000007,11.420000000000002,17.730000000000004
56,25.510000000000005,19.14,25.510000000000005
57,26.069999999999986,13.179999999999986,20.140000000000008
58,21.79999999999999,3.569999999999993,20.509999999999998
59,24.36,18.86999999999999,24.120000000000005
60,21.79,8.490000000000002,16.96
61,29.270000000000003,11.739999999999995,26.749999999999993
62,23.260000000000005,14.730000000000004,22.159999999999997
63,21.609999999999985,5.11999999999999,17.109999999999985
64,15.879999999999995,11.929999999999993,12.5
65,18.770000000000003,-2.1399999999999935,17.33
66,25.480000000000004,-2.859999999999985,24.61
67,40.620000000000005,23.330000000000005,33.35
68,26.700000000000003,21.240000000000002,23.770000000000003
69,29.12000000000001,15.000000000000007,20.88000000000001
70,17.13000000000001,-1.3400000000000034,17.13000000000001
71,26.139999999999993,-3.0900000000000034,25.47999999999999
72,28.1,-15.139999999999993,28.1
73,18.430000000000007,8.469999999999999,16.070000000000007
74,34.03,21.32999999999999,34.03
75,32.379999999999995,17.85,31.409999999999997
76,36.97,16.65,34.87
77,22.329999999999984,16.65,20.36999999999999
78,22.58,11.580000000000005,21.58
79,30.03,-14.96,29.460000000000008
80,35.699999999999996,9.850000000000001,33.89000000000001
81,30.03,17.97,29.449999999999996
82,22.6,7.880000000000003,21.210000000000022
83,23.930000000000007,8.280000000000001,23.930000000000007
84,24.620000000000005,17.510000000000005,24.0
85,21.080000000000005,2.8599999999999994,20.589999999999996
86,20.279999999999994,-1.670000000000016,15.859999999999992
87,22.21,-14.480000000000004,22.21
88,20.029999999999994,8.780000000000001,18.21999999999999
89,20.779999999999994,1.5300000000000011,18.87000000000001
90,19.970000000000006,10.869999999999997,18.659999999999997
91,20.36,12.670000000000002,20.309999999999988
92,14.490000000000009,3.8699999999999903,14.010000000000005
93,16.22,7.5900000000000105,15.86999999999999
94,22.710000000000008,3.480000000000004,22.710000000000008
95,28.92,-4.8700000000000045,24.650000000000006
96,23.23000000000001,11.169999999999987,22.790000000000006
97,25.75,10.640000000000015,24.739999999999995
98,28.620000000000005,3.6400000000000006,28.320000000000007
99,24.049999999999997,0.39000000000000057,23.570000000000007
100,17.209999999999994,0.7900000000000063,16.699999999999996
101,22.819999999999993,19.140000000000015,22.099999999999994
102,29.410000000000004,23.229999999999997,28.6
103,22.66000000000001,10.07,22.39
104,21.090000000000003,11.84000000000001,17.239999999999995
105,20.46,11.519999999999989,20.409999999999997
106,16.270000000000003,10.170000000000002,15.979999999999997
107,20.550000000000004,17.370000000000005,19.759999999999998
108,16.81000000000001,5.760000000000005,15.769999999999996
109,23.839999999999996,9.770000000000003,21.110000000000014
110,18.849999999999994,5.75,18.699999999999996
111,22.670000000000016,16.64999999999999,21.37000000000001
112,24.28000000000001,-5.390000000000008,21.779999999999994
113,23.729999999999997,12.86,23.339999999999996
114,18.150000000000006,-3.6799999999999997,17.63000000000001
115,23.930000000000007,-17.130000000000003,21.369999999999997
116,26.439999999999998,20.560000000000016,25.620000000000005
