Market,Feature Set,Test MAE,Test RMSE
PJM,A_Current,7.697186157019401,17.22115703845778
PJM,B_Short_Lags,4.073085883438328,12.825413428967073
PJM,C_Price_1h_Only,4.104600266799029,13.238492063860482
ERCOT,A_Current,8.375355085487413,21.76031802412401
ERCOT,B_Short_Lags,3.1447509067735635,9.327010543938554
ERCOT,C_Price_1h_Only,4.355878551448867,12.575850583967872
