Ablation,config,MAE,RMSE,n_features
Ensemble Composition,LGBM,8.0798,16.5211,1
Ensemble Composition,XGB,8.2105,17.1101,1
Ensemble Composition,LGBM+XGB,8.2226,16.9752,2
Ensemble Composition,BiLSTM,261.045,262.609,1
Ensemble Composition,LGBM+BiLSTM,244.3533,245.8605,2
Ensemble Composition,XGB+BiLSTM,283.3744,284.9389,2
Ensemble Composition,LGBM+XGB+BiLSTM,259.3563,260.8684,3
